,player,id
592,John Henson,203089
593,Jan Vesely,202686
594,Chris Wright,202874
595,Andre Roberson,203460
596,Grant Jerrett,203511
597,Jonas Jerebko,201973
598,Aron Baynes,203382
599,Jarrett Jack,101127
600,JJ O'Brien,1626266
601,Markieff Morris,202693
602,Alex Len,203458
603,Jack Cooley,204022
604,Ryan Hollins,200797
605,Dwight Howard,2730
606,Paul Pierce,1718
607,Robert Sacre,203135
608,Gal Mekel,203539
609,Patty Mills,201988
610,Greg Monroe,202328
611,Emmanuel Mudiay,1626144
612,Shabazz Muhammad,203498
613,Kristaps Porzingis,204001
614,Chandler Parsons,202718
615,Chris Andersen,2365
616,Mitch McGary,203956
617,Sasha Kaun,201619
618,Jose Juan Barea,200826
619,Ed Davis,202334
620,Gerald Green,101123
621,Nikola Mirotic,202703
622,Chris Douglas-Roberts,201604
623,Shawne Williams,200761
624,Jordan Crawford,202348
625,Victor Oladipo,203506
626,Nikola Jokic,203999
627,Delon Wright,1626153
628,DJ Augustin,201571
629,Jimmy Butler,202710
630,Jarell Eddie,204067
631,Andrew Bogut,101106
632,Derrick Favors,202324
633,Kendrick Perkins,2570
634,Jrue Holiday,201950
635,Terrence Jones,203093
636,Bryce Dejean-Jones,1626214
637,Jeremy Lin,202391
638,Andrew Bynum,101115
639,Markel Brown,203900
640,Alexis Ajinca,201582
641,Rashad Vaughn,1626173
642,Andrei Kirilenko,1905
643,Montrezl Harrell,1626149
644,Paul George,202331
645,Lou Amundson,200811
646,Christian Wood,1626174
647,Erik Murphy,203513
648,Miroslav Raduljica,203545
