player_year,MP_x,2P,3P,3PA,FTr,TS%_x,ORB,TRB,AST%,STL%,BLK%,3PAr,DWS,DBPM,dist,dfga,label
Ben McLemore/2016-17,19.3,3.5,2.0,5.2,0.222,0.538,0.6,4.0,6.9,1.2,0.5,0.406,0.5,-2.7,1.10961538462,0.858974358974,12
Jerian Grant/2015-16,16.6,3.8,0.6,2.8,0.315,0.479,0.7,4.1,21.8,2.0,0.6,0.256,1.0,-1.1,1.10975609756,1.28048780488,7
Tony Snell/2015-16,20.3,1.9,1.5,4.3,0.097,0.478,0.5,5.5,6.9,0.6,1.0,0.457,1.0,-0.7,1.11048192771,1.42168674699,15
Chris Kaman/2014-15,18.9,7.3,0.0,0.0,0.186,0.537,3.8,12.5,7.8,0.7,2.8,0.0,2.2,1.1,1.11188235294,5.56470588235,8
Kosta Koufos/2014-15,16.6,4.9,0.0,0.0,0.237,0.53,3.2,11.4,4.3,1.1,3.9,0.0,2.5,1.9,1.1122826087,3.97826086957,8
Boris Diaw/2016-17,17.6,3.5,0.6,2.3,0.107,0.494,1.3,4.4,20.3,0.7,0.6,0.248,1.2,-0.2,1.11604651163,1.88372093023,7
Jeremy Lamb/2016-17,18.4,5.8,1.3,4.6,0.263,0.55,0.9,8.3,11.3,1.2,1.8,0.297,1.3,-0.8,1.11694444444,1.55555555556,0
Jonas Jerebko/2015-16,15.1,2.3,1.3,3.3,0.273,0.531,2.4,8.8,7.4,0.8,1.6,0.378,1.5,0.4,1.12,2.09411764706,0
Randy Foye/2015-16,20.3,2.1,1.6,5.5,0.154,0.461,0.5,3.4,14.1,1.2,1.4,0.519,0.9,-1.3,1.12234234234,1.02702702703,3
Amar'e Stoudemire/2014-15,21.1,7.9,0.0,0.1,0.38,0.595,3.2,9.5,6.8,1.2,2.5,0.008,1.0,-1.3,1.12413333333,4.94666666667,2
Kosta Koufos/2015-16,19.0,5.7,0.0,0.0,0.234,0.54,4.1,10.3,3.3,1.3,3.8,0.0,1.4,0.4,1.12458333333,4.26041666667,8
Chris Andersen/2014-15,18.9,3.7,0.1,0.4,0.551,0.622,2.4,9.5,6.1,1.2,4.6,0.063,1.5,2.3,1.12611940299,5.23880597015,8
Ian Mahinmi/2015-16,25.6,5.2,0.0,0.0,0.502,0.603,2.7,10.1,8.9,1.8,3.3,0.0,3.3,3.3,1.12975,4.26666666667,2
