Rk,Player,Season,Age,Tm,Lg,G,MP,TS%,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%
121,Brandon Bass\bassbr01,2013-14,28,BOS,NBA,82,27.6,.549,73,2266,5.6,11.5,5.6,11.4,0.0,0.1,3.3,3.8,2.6,4.9,7.5,1.4,0.6,1.1,1.6,3.0,14.5,.486,.487,.333,.487,.858
122,Ryan Kelly\kellyry01,2013-14,22,LAL,NBA,59,22.2,.548,25,1312,4.3,10.2,3.0,6.3,1.3,3.9,3.0,3.7,1.2,4.9,6.0,2.6,0.9,1.2,1.3,4.0,13.0,.423,.476,.338,.488,.815
123,Josh McRoberts\mcrobjo01,2013-14,26,CHA,NBA,78,30.3,.548,78,2360,3.8,8.6,2.2,4.2,1.6,4.4,0.9,1.3,1.3,4.4,5.7,5.1,0.9,0.7,1.3,2.9,10.1,.436,.516,.361,.529,.729
124,Alec Burks\burksal01,2013-14,22,UTA,NBA,78,28.1,.547,12,2193,6.2,13.6,5.4,11.3,0.8,2.3,4.6,6.1,1.0,3.3,4.2,3.5,1.1,0.2,2.4,3.1,17.9,.457,.480,.350,.487,.748
125,Lou Williams\willilo02,2013-14,27,ATL,NBA,60,24.1,.547,7,1445,4.9,12.3,2.9,6.5,2.0,5.8,3.8,4.5,0.2,2.8,3.1,5.2,1.1,0.1,2.3,1.6,15.6,.400,.450,.342,.480,.849
126,Kelly Olynyk\olynyke01,2013-14,22,BOS,NBA,70,20.0,.546,9,1400,6.0,12.9,5.0,10.0,1.0,2.9,2.5,3.1,3.6,5.8,9.4,2.8,0.9,0.7,2.7,5.8,15.6,.466,.500,.351,.506,.811
127,Mike Conley\conlemi01,2013-14,26,MEM,NBA,73,33.5,.545,73,2446,6.8,15.2,5.3,10.9,1.5,4.3,3.3,4.1,0.6,2.5,3.1,6.5,1.6,0.2,2.2,2.1,18.5,.450,.484,.361,.500,.815
128,Pero Antic\anticpe01,2013-14,31,ATL,NBA,50,18.5,.545,26,925,4.8,11.4,2.6,4.8,2.2,6.7,1.9,2.6,2.2,5.9,8.1,2.3,0.7,0.5,2.1,4.9,13.7,.418,.545,.327,.514,.758
129,Patrick Beverley\beverpa01,2013-14,25,HOU,NBA,56,31.3,.545,55,1751,4.1,9.9,2.2,4.6,1.9,5.2,1.7,2.1,1.5,2.5,4.0,3.1,1.6,0.5,1.4,3.6,11.8,.414,.473,.361,.509,.814
130,Paul Millsap\millspa01,2013-14,28,ATL,NBA,74,33.5,.545,73,2482,7.0,15.2,5.9,12.1,1.1,3.1,4.1,5.7,2.2,6.9,9.1,3.4,1.9,1.1,2.7,3.0,19.3,.461,.487,.358,.498,.731
131,John Henson\hensojo01,2013-14,23,MIL,NBA,70,26.5,.543,23,1856,6.7,12.4,6.7,12.4,0.0,0.0,1.8,3.4,3.3,6.3,9.6,2.2,0.8,2.3,2.2,3.6,15.1,.538,.539,.000,.538,.514
132,Doron Lamb\lambdo01,2013-14,22,ORL,NBA,53,13.1,.543,0,695,3.3,8.3,1.4,3.6,1.9,4.7,1.5,1.9,0.4,2.1,2.5,2.2,0.6,0.1,1.4,2.8,9.9,.394,.386,.400,.506,.806
133,Gerald Wallace\wallage01,2013-14,31,BOS,NBA,58,24.4,.543,16,1416,2.9,5.8,2.5,4.2,0.5,1.6,1.2,2.6,0.9,4.5,5.4,3.6,1.9,0.4,2.5,2.0,7.6,.504,.584,.297,.546,.465
134,Ed Davis\davised01,2013-14,24,MEM,NBA,63,15.2,.542,4,956,5.8,10.9,5.8,10.9,0.0,0.0,1.8,3.4,3.5,6.3,9.8,1.0,0.6,1.6,1.5,4.3,13.4,.534,.534,,.534,.528
135,Tobias Harris\harrito02,2013-14,21,ORL,NBA,61,30.3,.542,36,1850,6.5,13.9,5.8,11.5,0.6,2.5,3.8,4.7,1.7,6.5,8.3,1.6,0.8,0.5,1.5,2.8,17.4,.464,.508,.254,.486,.807
136,Maurice Harkless\harklma01,2013-14,20,ORL,NBA,80,24.4,.542,41,1950,4.1,8.9,3.0,6.1,1.1,2.8,1.6,2.6,1.3,3.6,4.9,1.5,1.8,0.9,1.6,2.6,10.9,.464,.502,.383,.525,.594
137,Derek Fisher\fishede01,2013-14,39,OKC,NBA,81,17.6,.542,0,1428,3.6,9.1,1.3,3.3,2.2,5.8,1.4,1.8,0.3,2.8,3.1,2.9,1.8,0.1,1.2,4.0,10.7,.391,.402,.384,.512,.775
138,Perry Jones\jonespe01,2013-14,22,OKC,NBA,62,12.3,.541,7,764,3.9,8.5,2.9,5.7,1.0,2.9,1.3,2.0,1.3,4.1,5.4,1.2,0.7,0.9,1.0,2.9,10.2,.459,.508,.361,.519,.667
139,Khris Middleton\middlkh01,2013-14,22,MIL,NBA,82,30.0,.541,64,2460,5.5,12.5,3.7,8.3,1.8,4.2,1.7,2.0,0.9,3.7,4.5,2.5,1.2,0.3,1.8,3.6,14.5,.440,.454,.414,.511,.861
140,Steven Adams\adamsst01,2013-14,20,OKC,NBA,81,14.8,.541,20,1197,2.8,5.6,2.8,5.6,0.0,0.0,2.4,4.1,4.3,5.7,10.0,1.3,1.2,1.7,2.1,6.1,8.0,.503,.503,,.503,.581
141,Jeff Teague\teaguje01,2013-14,25,ATL,NBA,79,32.2,.541,79,2542,6.5,14.7,5.4,11.5,1.0,3.2,4.5,5.3,0.5,2.5,2.9,7.5,1.3,0.2,3.3,2.2,18.5,.438,.469,.329,.474,.846
142,Jared Dudley\dudleja01,2013-14,28,LAC,NBA,74,23.4,.541,43,1729,4.1,9.3,2.4,4.6,1.7,4.7,0.8,1.2,0.7,2.6,3.3,2.2,0.9,0.2,1.2,3.0,10.6,.438,.518,.360,.529,.655
143,P.J. Tucker\tuckepj01,2013-14,28,PHO,NBA,81,30.7,.540,81,2490,3.8,8.9,2.8,6.1,1.1,2.8,2.3,2.9,2.3,5.3,7.6,2.0,1.6,0.3,1.5,2.9,11.0,.431,.450,.387,.491,.776
144,Marvin Williams\willima02,2013-14,27,UTA,NBA,66,25.4,.540,50,1674,5.0,11.3,3.2,6.3,1.8,5.0,1.2,1.6,1.8,5.4,7.2,1.7,1.2,0.7,1.1,3.2,13.0,.439,.503,.359,.519,.781
145,Rudy Gay\gayru01,2013-14,27,TOT,NBA,73,34.7,.540,73,2531,7.6,16.8,6.7,14.0,0.9,2.8,4.5,5.5,1.6,4.6,6.2,3.0,1.4,0.8,3.2,2.4,20.7,.455,.481,.330,.483,.822
146,Eric Gordon\gordoer01,2013-14,25,NOP,NBA,64,32.1,.540,64,2057,6.2,14.3,4.5,9.8,1.8,4.5,3.1,3.9,0.5,2.4,2.9,3.6,1.3,0.2,2.3,2.0,17.3,.436,.456,.391,.498,.785
147,Ramon Sessions\sessira01,2013-14,27,TOT,NBA,83,26.7,.539,19,2214,5.4,12.5,4.8,10.5,0.6,2.0,5.3,6.6,0.6,2.7,3.3,5.5,0.8,0.1,2.4,1.5,16.6,.429,.457,.282,.452,.807
148,Vince Carter\cartevi01,2013-14,37,DAL,NBA,81,24.4,.539,0,1973,6.0,14.8,3.4,8.0,2.7,6.8,2.9,3.6,1.2,4.0,5.2,3.9,1.1,0.6,2.0,3.8,17.6,.407,.418,.394,.497,.821
149,Ian Mahinmi\mahinia01,2013-14,27,IND,NBA,77,16.2,.538,1,1248,2.6,5.5,2.6,5.4,0.0,0.0,2.6,4.2,3.1,4.3,7.4,0.7,1.2,2.1,1.7,6.0,7.8,.481,.484,.000,.481,.621
150,Greivis Vasquez\vasqugr01,2013-14,27,TOT,NBA,79,22.5,.537,23,1779,5.6,13.3,3.4,7.5,2.2,5.8,1.9,2.2,0.4,3.1,3.5,6.5,0.6,0.1,2.6,2.9,15.3,.421,.455,.377,.504,.880
151,Shawn Marion\mariosh01,2013-14,35,DAL,NBA,76,31.7,.537,76,2409,5.1,10.6,4.2,8.2,0.9,2.4,0.8,1.0,2.0,5.5,7.4,1.9,1.3,0.6,1.4,1.9,11.8,.482,.518,.358,.523,.785
152,Nikola Vucevic\vucevni01,2013-14,23,ORL,NBA,57,31.8,.536,57,1812,7.0,13.8,7.0,13.8,0.0,0.0,2.1,2.7,3.7,8.8,12.4,2.1,1.2,0.9,2.2,3.4,16.1,.507,.507,,.507,.766
153,Tim Duncan\duncati01,2013-14,37,SAS,NBA,74,29.2,.535,74,2158,7.4,15.1,7.4,15.0,0.0,0.1,3.9,5.3,2.6,9.4,12.0,3.7,0.7,2.3,2.7,2.2,18.7,.490,.493,.000,.490,.731
154,Rashard Lewis\lewisra02,2013-14,34,MIA,NBA,60,16.2,.535,6,971,3.6,8.7,1.9,3.8,1.7,5.0,1.0,1.2,0.9,3.2,4.1,2.1,2.0,0.3,1.3,3.3,9.9,.415,.510,.343,.513,.788
155,Matthew Dellavedova\dellama01,2013-14,23,CLE,NBA,72,17.7,.534,4,1271,3.5,8.4,1.8,4.0,1.6,4.4,1.1,1.4,0.8,2.7,3.5,5.3,0.9,0.1,1.7,3.4,9.6,.412,.461,.368,.508,.792
156,Andre Miller\millean02,2013-14,37,TOT,NBA,58,16.9,.534,2,982,3.9,8.5,3.5,7.7,0.4,0.8,2.2,2.8,1.0,3.7,4.8,7.2,1.2,0.3,2.2,2.7,10.4,.459,.452,.524,.483,.779
157,Gorgui Dieng\dienggo01,2013-14,24,MIN,NBA,60,13.6,.534,15,818,5.0,10.0,4.9,9.9,0.0,0.0,2.6,4.1,4.5,8.7,13.2,1.7,1.3,2.2,2.4,4.8,12.6,.498,.496,1.000,.500,.634
158,Patrick Patterson\pattepa01,2013-14,24,TOT,NBA,65,23.6,.533,13,1533,5.3,11.5,4.0,7.9,1.3,3.5,1.2,1.7,2.7,5.3,8.0,1.8,1.3,0.9,1.5,3.7,13.0,.460,.503,.364,.516,.704
159,Evan Fournier\fournev01,2013-14,21,DEN,NBA,76,19.8,.533,4,1503,5.5,13.0,3.3,7.4,2.1,5.7,2.2,2.9,0.8,4.0,4.8,2.7,0.8,0.2,2.4,4.3,15.3,.419,.453,.376,.501,.756
160,Kyrie Irving\irvinky01,2013-14,21,CLE,NBA,71,35.2,.533,71,2496,7.7,17.8,5.9,12.9,1.8,5.0,4.2,4.9,0.7,3.0,3.7,6.2,1.6,0.3,2.7,2.4,21.3,.430,.458,.358,.480,.861
161,Kevin Seraphin\serapke01,2013-14,24,WAS,NBA,53,10.9,.533,1,578,6.9,13.7,6.9,13.7,0.0,0.0,1.7,1.9,3.3,4.7,8.0,1.1,0.2,1.6,2.6,6.4,15.5,.505,.505,,.505,.871
162,David West\westda01,2013-14,33,IND,NBA,80,30.9,.533,80,2472,6.7,13.7,6.6,13.5,0.1,0.2,2.9,3.7,1.7,6.1,7.9,3.2,0.9,1.1,1.9,2.7,16.3,.488,.491,.267,.490,.789
