player_year,MP_x,tchs,2P,3P,3PA,FTr,TS%_x,ORB,TRB,AST%,STL%,BLK%,3PAr,DWS,DBPM,dist,dfga,label
Paul Millsap/2016-17,34.0,62.4025974026,5.5,1.2,3.7,0.41700000000000004,0.542,1.7,8.2,17.9,1.9,2.3,0.248,3.8,2.1,2.22194805195,6.88311688312,8
Kyle Lowry/2014-15,34.5,78.7466666667,4.4,2.0,5.8,0.299,0.527,0.8,4.9,32.4,2.3,0.4,0.375,2.0,-0.6,2.2248,2.29333333333,2
Stephen Curry/2015-16,34.2,77.5,5.4,5.4,11.8,0.25,0.669,0.9,5.7,33.7,3.0,0.4,0.5539999999999999,4.1,0.1,2.22594339623,1.4811320754700001,2
John Wall/2016-17,36.4,87.55434782610001,7.1,1.1,3.5,0.36700000000000005,0.541,0.7,4.1,46.9,2.7,1.4,0.19,3.0,0.2,2.2304347826099997,1.60869565217,10
Monta Ellis/2015-16,33.8,65.0222222222,4.6,1.1,3.7,0.20199999999999999,0.504,0.6,3.6,22.2,2.7,1.1,0.276,3.9,0.9,2.235,1.3,4
Trevor Ariza/2016-17,34.7,42.4782608696,1.8,2.5,7.2,0.158,0.5479999999999999,0.7,6.0,8.8,2.5,0.6,0.695,3.2,1.0,2.2356521739099997,2.5978260869599996,1
Klay Thompson/2015-16,33.3,44.4821428571,5.1,3.7,8.8,0.159,0.597,0.5,4.1,9.8,1.1,1.4,0.469,2.6,-2.2,2.23607142857,2.2946428571400004,1
Isaiah Thomas/2015-16,32.2,84.3181818182,5.8,2.3,6.3,0.39399999999999996,0.562,0.6,3.3,32.7,1.7,0.3,0.336,2.5,-2.0,2.23954545455,1.1818181818200002,2
Avery Bradley/2014-15,31.5,39.3580246914,4.6,1.8,5.2,0.099,0.507,0.7,3.6,8.9,1.7,0.5,0.348,2.1,-0.9,2.2406172839500003,1.55555555556,11
Kentavious CaldwellPope/2014-15,31.5,38.0722891566,3.3,2.1,6.2,0.163,0.501,0.6,3.5,6.8,1.9,0.5,0.457,1.8,-0.9,2.25301204819,1.57831325301,11
